Algorithm,Threads,DataSetSize,Dimension,K,TimeMs,MemoryMB
Sequential,1,10000,2,3,22,1
Concurrent,1,10000,2,3,37,1
Parallel,1,10000,2,3,46,1
Concurrent,2,10000,2,3,37,0
Parallel,2,10000,2,3,19,0
Concurrent,4,10000,2,3,30,0
Parallel,4,10000,2,3,17,0
Concurrent,8,10000,2,3,33,0
Parallel,8,10000,2,3,27,0
Sequential,1,10000,2,5,14,0
Concurrent,1,10000,2,5,22,0
Parallel,1,10000,2,5,23,0
Concurrent,2,10000,2,5,31,0
Parallel,2,10000,2,5,28,0
Concurrent,4,10000,2,5,43,0
Parallel,4,10000,2,5,20,0
Concurrent,8,10000,2,5,41,1
Parallel,8,10000,2,5,24,0
Sequential,1,10000,2,10,37,0
Concurrent,1,10000,2,10,65,0
Parallel,1,10000,2,10,38,0
Concurrent,2,10000,2,10,41,0
Parallel,2,10000,2,10,32,0
Concurrent,4,10000,2,10,44,1
Parallel,4,10000,2,10,22,0
Concurrent,8,10000,2,10,35,1
Parallel,8,10000,2,10,17,0
Sequential,1,10000,10,3,31,0
Concurrent,1,10000,10,3,49,0
Parallel,1,10000,10,3,34,0
Concurrent,2,10000,10,3,45,0
Parallel,2,10000,10,3,32,0
Concurrent,4,10000,10,3,48,0
Parallel,4,10000,10,3,30,0
Concurrent,8,10000,10,3,60,1
Parallel,8,10000,10,3,31,0
Sequential,1,10000,10,5,42,0
Concurrent,1,10000,10,5,62,0
Parallel,1,10000,10,5,46,0
Concurrent,2,10000,10,5,52,0
Parallel,2,10000,10,5,35,0
Concurrent,4,10000,10,5,53,0
Parallel,4,10000,10,5,30,0
Concurrent,8,10000,10,5,72,1
Parallel,8,10000,10,5,25,0
Sequential,1,10000,10,10,68,0
Concurrent,1,10000,10,10,117,0
Parallel,1,10000,10,10,74,0
Concurrent,2,10000,10,10,60,0
Parallel,2,10000,10,10,49,0
Concurrent,4,10000,10,10,59,1
Parallel,4,10000,10,10,41,0
Concurrent,8,10000,10,10,66,1
Parallel,8,10000,10,10,28,0
Sequential,1,10000,20,3,42,0
Concurrent,1,10000,20,3,65,0
Parallel,1,10000,20,3,46,0
Concurrent,2,10000,20,3,77,0
Parallel,2,10000,20,3,37,0
Concurrent,4,10000,20,3,52,0
Parallel,4,10000,20,3,31,0
Concurrent,8,10000,20,3,61,1
Parallel,8,10000,20,3,34,0
Sequential,1,10000,20,5,64,0
Concurrent,1,10000,20,5,83,0
Parallel,1,10000,20,5,64,0
