Algorithm,Threads,DataSetSize,Dimension,K,TimeMs,MemoryMB
Sequential,1,10000,2,3,28,1
Concurrent,1,10000,2,3,39,1
Parallel,1,10000,2,3,19,0
Concurrent,2,10000,2,3,10,0
Parallel,2,10000,2,3,13,0
Concurrent,4,10000,2,3,10,0
Parallel,4,10000,2,3,22,0
Concurrent,8,10000,2,3,31,1
Parallel,8,10000,2,3,16,0
Sequential,1,10000,2,5,12,0
Concurrent,1,10000,2,5,20,0
Parallel,1,10000,2,5,16,0
Concurrent,2,10000,2,5,25,0
Parallel,2,10000,2,5,13,0
Concurrent,4,10000,2,5,17,0
Parallel,4,10000,2,5,24,0
Concurrent,8,10000,2,5,41,1
Parallel,8,10000,2,5,25,0
Sequential,1,10000,2,10,24,0
Concurrent,1,10000,2,10,34,0
Parallel,1,10000,2,10,29,0
Concurrent,2,10000,2,10,36,1
Parallel,2,10000,2,10,17,0
Concurrent,4,10000,2,10,23,0
Parallel,4,10000,2,10,23,0
Concurrent,8,10000,2,10,42,1
Parallel,8,10000,2,10,20,0
Sequential,1,10000,10,3,17,0
Concurrent,1,10000,10,3,27,0
Parallel,1,10000,10,3,21,0
Concurrent,2,10000,10,3,36,0
Parallel,2,10000,10,3,28,0
Concurrent,4,10000,10,3,43,0
Parallel,4,10000,10,3,32,0
Concurrent,8,10000,10,3,48,1
Parallel,8,10000,10,3,35,0
Sequential,1,10000,10,5,26,0
Concurrent,1,10000,10,5,37,0
Parallel,1,10000,10,5,29,0
Concurrent,2,10000,10,5,41,0
Parallel,2,10000,10,5,32,0
Concurrent,4,10000,10,5,45,0
Parallel,4,10000,10,5,30,0
Concurrent,8,10000,10,5,50,1
Parallel,8,10000,10,5,29,0
Sequential,1,10000,10,10,41,0
Concurrent,1,10000,10,10,52,0
Parallel,1,10000,10,10,45,0
Concurrent,2,10000,10,10,46,0
Parallel,2,10000,10,10,34,0
Concurrent,4,10000,10,10,41,1
Parallel,4,10000,10,10,25,0
Concurrent,8,10000,10,10,45,1
Parallel,8,10000,10,10,24,0
Sequential,1,10000,20,3,26,0
Concurrent,1,10000,20,3,37,0
Parallel,1,10000,20,3,31,0
Concurrent,2,10000,20,3,43,0
Parallel,2,10000,20,3,31,0
Concurrent,4,10000,20,3,44,0
Parallel,4,10000,20,3,32,0
Concurrent,8,10000,20,3,56,1
Parallel,8,10000,20,3,34,0
Sequential,1,10000,20,5,41,0
Concurrent,1,10000,20,5,47,0
Parallel,1,10000,20,5,40,0
Concurrent,2,10000,20,5,47,0
Parallel,2,10000,20,5,33,0
Concurrent,4,10000,20,5,42,0
Parallel,4,10000,20,5,27,0
Concurrent,8,10000,20,5,48,1
Parallel,8,10000,20,5,27,0
Sequential,1,10000,20,10,57,0
Concurrent,1,10000,20,10,73,0
Parallel,1,10000,20,10,64,0
Concurrent,2,10000,20,10,53,0
Parallel,2,10000,20,10,41,0
Concurrent,4,10000,20,10,43,1
Parallel,4,10000,20,10,31,0
Concurrent,8,10000,20,10,50,2
Parallel,8,10000,20,10,25,0
Sequential,1,100000,2,3,132,1
Concurrent,1,100000,2,3,169,2
Parallel,1,100000,2,3,150,1
Concurrent,2,100000,2,3,244,2
Parallel,2,100000,2,3,248,1
Concurrent,4,100000,2,3,316,2
Parallel,4,100000,2,3,297,1
Concurrent,8,100000,2,3,351,2
Parallel,8,100000,2,3,327,2
Sequential,1,100000,2,5,178,2
Concurrent,1,100000,2,5,221,2
Parallel,1,100000,2,5,202,1
Concurrent,2,100000,2,5,267,2
Parallel,2,100000,2,5,215,1
Concurrent,4,100000,2,5,243,2
Parallel,4,100000,2,5,255,2
Concurrent,8,100000,2,5,306,3
Parallel,8,100000,2,5,263,2
Sequential,1,100000,2,10,269,1
Concurrent,1,100000,2,10,304,2
Parallel,1,100000,2,10,301,1
Concurrent,2,100000,2,10,294,2
Parallel,2,100000,2,10,251,1
Concurrent,4,100000,2,10,266,2
Parallel,4,100000,2,10,205,1
Concurrent,8,100000,2,10,232,2
Parallel,8,100000,2,10,190,2
Sequential,1,100000,10,3,410,2
Concurrent,1,100000,10,3,326,3
Parallel,1,100000,10,3,295,1
Concurrent,2,100000,10,3,317,2
Parallel,2,100000,10,3,279,1
Concurrent,4,100000,10,3,338,3
Parallel,4,100000,10,3,306,2
Concurrent,8,100000,10,3,366,4
Parallel,8,100000,10,3,347,3
Sequential,1,100000,10,5,330,1
Concurrent,1,100000,10,5,391,2
Parallel,1,100000,10,5,345,2
Concurrent,2,100000,10,5,343,2
Parallel,2,100000,10,5,303,2
Concurrent,4,100000,10,5,314,3
Parallel,4,100000,10,5,284,2
Concurrent,8,100000,10,5,310,4
Parallel,8,100000,10,5,279,2
Sequential,1,100000,10,10,500,2
Concurrent,1,100000,10,10,564,3
Parallel,1,100000,10,10,527,2
Concurrent,2,100000,10,10,369,4
Parallel,2,100000,10,10,319,2
Concurrent,4,100000,10,10,300,5
Parallel,4,100000,10,10,226,2
Concurrent,8,100000,10,10,246,6
Parallel,8,100000,10,10,194,2
Sequential,1,100000,20,3,392,2
Concurrent,1,100000,20,3,503,2
Parallel,1,100000,20,3,449,2
Concurrent,2,100000,20,3,404,3
Parallel,2,100000,20,3,346,2
Concurrent,4,100000,20,3,384,3
Parallel,4,100000,20,3,348,2
Concurrent,8,100000,20,3,407,4
Parallel,8,100000,20,3,367,2
Sequential,1,100000,20,5,524,1
Concurrent,1,100000,20,5,592,2
Parallel,1,100000,20,5,547,1
Concurrent,2,100000,20,5,461,2
Parallel,2,100000,20,5,350,2
Concurrent,4,100000,20,5,342,3
Parallel,4,100000,20,5,278,2
Concurrent,8,100000,20,5,326,3
Parallel,8,100000,20,5,265,2
Sequential,1,100000,20,10,762,1
Concurrent,1,100000,20,10,888,2
Parallel,1,100000,20,10,795,2
Concurrent,2,100000,20,10,505,3
Parallel,2,100000,20,10,476,2
Concurrent,4,100000,20,10,332,4
Parallel,4,100000,20,10,283,2
Concurrent,8,100000,20,10,269,5
Parallel,8,100000,20,10,229,2
Sequential,1,1000000,2,3,3637,21
Concurrent,1,1000000,2,3,4084,25
Parallel,1,1000000,2,3,2215,17
Concurrent,2,1000000,2,3,1755,21
Parallel,2,1000000,2,3,3266,17
Concurrent,4,1000000,2,3,3768,22
Parallel,4,1000000,2,3,3629,26
Concurrent,8,1000000,2,3,3977,35
Parallel,8,1000000,2,3,3890,25
Sequential,1,1000000,2,5,5047,18
Concurrent,1,1000000,2,5,5681,26
Parallel,1,1000000,2,5,5803,19
Concurrent,2,1000000,2,5,3482,24
Parallel,2,1000000,2,5,2608,16
Concurrent,4,1000000,2,5,2097,21
Parallel,4,1000000,2,5,3269,17
Concurrent,8,1000000,2,5,3151,25
Parallel,8,1000000,2,5,3307,19
Sequential,1,1000000,2,10,8744,19
Concurrent,1,1000000,2,10,9014,27
Parallel,1,1000000,2,10,8969,20
Concurrent,2,1000000,2,10,5076,27
Parallel,2,1000000,2,10,4896,19
Concurrent,4,1000000,2,10,3075,28
Parallel,4,1000000,2,10,3080,19
Concurrent,8,1000000,2,10,2231,32
Parallel,8,1000000,2,10,2175,19
Sequential,1,1000000,10,3,8335,11
Concurrent,1,1000000,10,3,8509,17
Parallel,1,1000000,10,3,9389,13
Concurrent,2,1000000,10,3,5846,26
Parallel,2,1000000,10,3,6003,27
Concurrent,4,1000000,10,3,4732,34
Parallel,4,1000000,10,3,4579,24
Concurrent,8,1000000,10,3,4549,34
Parallel,8,1000000,10,3,4931,30
Sequential,1,1000000,10,5,8270,19
Concurrent,1,1000000,10,5,8722,26
Parallel,1,1000000,10,5,8595,18
Concurrent,2,1000000,10,5,4605,24
Parallel,2,1000000,10,5,4881,21
Concurrent,4,1000000,10,5,3209,28
Parallel,4,1000000,10,5,3395,20
Concurrent,8,1000000,10,5,2979,31
Parallel,8,1000000,10,5,3214,27
Sequential,1,1000000,10,10,10464,15
Concurrent,1,1000000,10,10,13387,23
Parallel,1,1000000,10,10,13730,18
Concurrent,2,1000000,10,10,7155,23
Parallel,2,1000000,10,10,7218,19
Concurrent,4,1000000,10,10,4298,30
Parallel,4,1000000,10,10,4411,18
Concurrent,8,1000000,10,10,2871,32
Parallel,8,1000000,10,10,2844,20
Sequential,1,1000000,20,3,12605,15
Concurrent,1,1000000,20,3,13118,27
Parallel,1,1000000,20,3,13754,17
Concurrent,2,1000000,20,3,7722,28
Parallel,2,1000000,20,3,7527,11
Concurrent,4,1000000,20,3,5388,24
Parallel,4,1000000,20,3,5149,19
Concurrent,8,1000000,20,3,5052,31
Parallel,8,1000000,20,3,5285,22
Sequential,1,1000000,20,5,14411,16
