Algorithm,Threads,DataSetSize,Dimension,K,TimeMs,MemoryMB
Sequential,1,10000,2,3,25,1
Concurrent,1,10000,2,3,39,1
Parallel,1,10000,2,3,32,0
Concurrent,2,10000,2,3,27,0
Parallel,2,10000,2,3,22,0
Concurrent,4,10000,2,3,32,0
Parallel,4,10000,2,3,34,0
Concurrent,8,10000,2,3,54,0
Parallel,8,10000,2,3,40,0
Sequential,1,10000,2,5,20,0
Concurrent,1,10000,2,5,36,0
Parallel,1,10000,2,5,20,0
Concurrent,2,10000,2,5,34,0
Parallel,2,10000,2,5,22,0
Concurrent,4,10000,2,5,34,0
Parallel,4,10000,2,5,29,0
Concurrent,8,10000,2,5,50,1
Parallel,8,10000,2,5,35,0
Sequential,1,10000,2,10,27,0
Concurrent,1,10000,2,10,42,0
Parallel,1,10000,2,10,32,0
Concurrent,2,10000,2,10,41,0
Parallel,2,10000,2,10,28,0
Concurrent,4,10000,2,10,43,1
Parallel,4,10000,2,10,26,0
Concurrent,8,10000,2,10,52,2
Parallel,8,10000,2,10,25,0
Sequential,1,10000,10,3,20,0
Concurrent,1,10000,10,3,35,0
Parallel,1,10000,10,3,24,0
Concurrent,2,10000,10,3,43,0
Parallel,2,10000,10,3,32,0
Concurrent,4,10000,10,3,50,0
Parallel,4,10000,10,3,37,0
Concurrent,8,10000,10,3,62,1
Parallel,8,10000,10,3,41,0
Sequential,1,10000,10,5,33,0
Concurrent,1,10000,10,5,43,0
Parallel,1,10000,10,5,34,0
Concurrent,2,10000,10,5,47,0
Parallel,2,10000,10,5,34,0
Concurrent,4,10000,10,5,63,1
Parallel,4,10000,10,5,35,0
Concurrent,8,10000,10,5,75,1
Parallel,8,10000,10,5,37,0
Sequential,1,10000,10,10,58,0
Concurrent,1,10000,10,10,75,0
Parallel,1,10000,10,10,56,0
Concurrent,2,10000,10,10,62,0
Parallel,2,10000,10,10,41,0
Concurrent,4,10000,10,10,54,1
Parallel,4,10000,10,10,28,0
Concurrent,8,10000,10,10,59,1
Parallel,8,10000,10,10,26,0
Sequential,1,10000,20,3,28,0
Concurrent,1,10000,20,3,46,0
Parallel,1,10000,20,3,39,0
Concurrent,2,10000,20,3,59,0
Parallel,2,10000,20,3,36,0
Concurrent,4,10000,20,3,67,0
Parallel,4,10000,20,3,43,0
Concurrent,8,10000,20,3,83,1
Parallel,8,10000,20,3,48,0
Sequential,1,10000,20,5,79,0
Concurrent,1,10000,20,5,100,0
Parallel,1,10000,20,5,78,0
Concurrent,2,10000,20,5,63,0
Parallel,2,10000,20,5,47,0
Concurrent,4,10000,20,5,57,1
Parallel,4,10000,20,5,33,0
Concurrent,8,10000,20,5,73,1
Parallel,8,10000,20,5,38,0
Sequential,1,10000,20,10,97,0
Concurrent,1,10000,20,10,126,0
Parallel,1,10000,20,10,95,0
Concurrent,2,10000,20,10,65,0
Parallel,2,10000,20,10,54,0
Concurrent,4,10000,20,10,83,1
Parallel,4,10000,20,10,50,0
Concurrent,8,10000,20,10,82,2
Parallel,8,10000,20,10,38,0
Sequential,1,100000,2,3,175,1
Concurrent,1,100000,2,3,206,2
Parallel,1,100000,2,3,254,1
Concurrent,2,100000,2,3,321,2
Parallel,2,100000,2,3,311,1
Concurrent,4,100000,2,3,397,2
Parallel,4,100000,2,3,223,1
Concurrent,8,100000,2,3,252,2
Parallel,8,100000,2,3,369,1
Sequential,1,100000,2,5,268,1
Concurrent,1,100000,2,5,342,2
Parallel,1,100000,2,5,330,1
Concurrent,2,100000,2,5,323,1
Parallel,2,100000,2,5,312,1
Concurrent,4,100000,2,5,295,2
Parallel,4,100000,2,5,242,1
Concurrent,8,100000,2,5,296,3
Parallel,8,100000,2,5,327,2
Sequential,1,100000,2,10,378,1
Concurrent,1,100000,2,10,388,2
Parallel,1,100000,2,10,452,2
Concurrent,2,100000,2,10,346,2
Parallel,2,100000,2,10,341,2
Concurrent,4,100000,2,10,309,3
Parallel,4,100000,2,10,248,2
Concurrent,8,100000,2,10,281,1
Parallel,8,100000,2,10,237,2
Sequential,1,100000,10,3,309,1
Concurrent,1,100000,10,3,399,2
Parallel,1,100000,10,3,380,1
Concurrent,2,100000,10,3,367,2
Parallel,2,100000,10,3,369,1
Concurrent,4,100000,10,3,397,2
Parallel,4,100000,10,3,360,1
Concurrent,8,100000,10,3,432,2
Parallel,8,100000,10,3,417,2
Sequential,1,100000,10,5,439,1
Concurrent,1,100000,10,5,512,2
Parallel,1,100000,10,5,483,1
Concurrent,2,100000,10,5,387,2
Parallel,2,100000,10,5,367,1
Concurrent,4,100000,10,5,347,3
Parallel,4,100000,10,5,325,1
Concurrent,8,100000,10,5,378,4
Parallel,8,100000,10,5,336,2
Sequential,1,100000,10,10,741,1
Concurrent,1,100000,10,10,806,2
Parallel,1,100000,10,10,767,2
Concurrent,2,100000,10,10,481,2
Parallel,2,100000,10,10,407,2
Concurrent,4,100000,10,10,344,4
Parallel,4,100000,10,10,280,2
Concurrent,8,100000,10,10,316,3
Parallel,8,100000,10,10,256,2
Sequential,1,100000,20,3,556,1
Concurrent,1,100000,20,3,709,2
Parallel,1,100000,20,3,661,2
Concurrent,2,100000,20,3,469,2
Parallel,2,100000,20,3,415,2
Concurrent,4,100000,20,3,476,3
Parallel,4,100000,20,3,389,1
Concurrent,8,100000,20,3,484,4
Parallel,8,100000,20,3,490,2
Sequential,1,100000,20,5,940,1
Concurrent,1,100000,20,5,1003,2
Parallel,1,100000,20,5,915,2
Concurrent,2,100000,20,5,667,3
Parallel,2,100000,20,5,535,2
Concurrent,4,100000,20,5,440,3
Parallel,4,100000,20,5,379,2
Concurrent,8,100000,20,5,419,4
Parallel,8,100000,20,5,358,2
Sequential,1,100000,20,10,1382,2
Concurrent,1,100000,20,10,1331,3
Parallel,1,100000,20,10,1411,2
Concurrent,2,100000,20,10,711,3
Parallel,2,100000,20,10,694,2
Concurrent,4,100000,20,10,480,4
Parallel,4,100000,20,10,417,3
Concurrent,8,100000,20,10,379,6
Parallel,8,100000,20,10,299,3
Sequential,1,1000000,2,3,5015,24
Concurrent,1,1000000,2,3,5375,30
Parallel,1,1000000,2,3,5301,17
Concurrent,2,1000000,2,3,4364,22
Parallel,2,1000000,2,3,4242,17
Concurrent,4,1000000,2,3,4777,22
Parallel,4,1000000,2,3,4245,20
Concurrent,8,1000000,2,3,4835,24
Parallel,8,1000000,2,3,4660,20
Sequential,1,1000000,2,5,7157,20
Concurrent,1,1000000,2,5,7144,26
Parallel,1,1000000,2,5,7627,17
Concurrent,2,1000000,2,5,4529,22
Parallel,2,1000000,2,5,4377,20
Concurrent,4,1000000,2,5,3572,26
Parallel,4,1000000,2,5,3691,20
Concurrent,8,1000000,2,5,3798,26
Parallel,8,1000000,2,5,4244,26
Sequential,1,1000000,2,10,9346,18
Concurrent,1,1000000,2,10,8620,25
Parallel,1,1000000,2,10,9042,17
Concurrent,2,1000000,2,10,4948,24
Parallel,2,1000000,2,10,5034,18
Concurrent,4,1000000,2,10,3175,23
Parallel,4,1000000,2,10,3182,20
Concurrent,8,1000000,2,10,2636,32
Parallel,8,1000000,2,10,2518,20
Sequential,1,1000000,10,3,9425,20
Concurrent,1,1000000,10,3,9541,28
Parallel,1,1000000,10,3,9963,18
Concurrent,2,1000000,10,3,5694,22
Parallel,2,1000000,10,3,5815,20
Concurrent,4,1000000,10,3,4864,24
Parallel,4,1000000,10,3,4967,24
Concurrent,8,1000000,10,3,5108,34
Parallel,8,1000000,10,3,5528,29
Sequential,1,1000000,10,5,10884,15
Concurrent,1,1000000,10,5,10440,20
Parallel,1,1000000,10,5,11260,18
Concurrent,2,1000000,10,5,6244,22
Parallel,2,1000000,10,5,6244,20
Concurrent,4,1000000,10,5,4032,28
Parallel,4,1000000,10,5,4273,19
Concurrent,8,1000000,10,5,3696,28
Parallel,8,1000000,10,5,3941,24
Sequential,1,1000000,10,10,13508,16
Concurrent,1,1000000,10,10,13149,22
Parallel,1,1000000,10,10,13713,15
Concurrent,2,1000000,10,10,7152,20
Parallel,2,1000000,10,10,7202,16
Concurrent,4,1000000,10,10,4363,22
Parallel,4,1000000,10,10,4114,16
Concurrent,8,1000000,10,10,2961,21
Parallel,8,1000000,10,10,2958,18
Sequential,1,1000000,20,3,12837,16
Concurrent,1,1000000,20,3,12355,23
Parallel,1,1000000,20,3,13055,22
Concurrent,2,1000000,20,3,7596,27
Parallel,2,1000000,20,3,7583,20
Concurrent,4,1000000,20,3,5583,25
Parallel,4,1000000,20,3,5712,25
Concurrent,8,1000000,20,3,5794,36
Parallel,8,1000000,20,3,6351,29
Sequential,1,1000000,20,5,15049,13
Concurrent,1,1000000,20,5,13259,24
Parallel,1,1000000,20,5,14394,13
Concurrent,2,1000000,20,5,8238,26
Parallel,2,1000000,20,5,7668,15
Concurrent,4,1000000,20,5,5038,27
Parallel,4,1000000,20,5,4946,18
Concurrent,8,1000000,20,5,4140,25
Parallel,8,1000000,20,5,4157,20
Sequential,1,1000000,20,10,18512,17
Concurrent,1,1000000,20,10,17266,23
Parallel,1,1000000,20,10,19004,17
Concurrent,2,1000000,20,10,10775,22
Parallel,2,1000000,20,10,10197,17
Concurrent,4,1000000,20,10,5997,25
Parallel,4,1000000,20,10,5665,17
Concurrent,8,1000000,20,10,3896,26
Parallel,8,1000000,20,10,3670,20
